Open-time,Open,High,Low,Close,Volume,Close-time,Quote-asset-volume,Number-of-trades,Taker-buy-base-asset-volume,Taker-buy-quote-asset-volume,Ignore
1770670200000000,70756.22,70785.37,70715.85,70785.37,0.02272,1770670499999999,1607.2729611,9,0.02258,1597.3670903,0
1770670500000000,70789.36,70789.36,70700.76,70754.06,0.16388,1770670799999999,11589.1633139,16,0.05377,3802.120485,0
1770670800000000,70737.84,70750.62,70585.96,70585.96,0.04,1770671099999999,2826.3873389,8,0.03986,2816.5053045,0
1770671100000000,70534.62,70539.11,70469.61,70469.61,0.0011,1770671399999999,77.5820338,3,0.00096,67.7162884,0
1770671400000000,70383.43,70449.44,70383.43,70396.36,0.02856,1770671699999999,2010.9409149,8,0.02332,1641.7960553,0
1770671700000000,70330.86,70349.89,70330.86,70349.89,0.0051,1770671999999999,358.7817748,2,0.00496,348.9354544,0
1770672000000000,70310.19,70452.26,70310.19,70452.26,0.04869,1770672299999999,3427.3553664,10,0.01661,1169.569593,0
1770672300000000,70452.25,70452.25,70317.88,70317.88,0.18903,1770672599999999,13301.8640044,6,0.00198,139.242132,0
1770672600000000,70318.66,70318.66,69940.71,69940.71,0.26636,1770672899999999,18694.1897723,45,0.00815,571.2472275,0
1770672900000000,70047.95,70047.95,69875.23,69910.75,0.03702,1770673199999999,2591.0480697,18,0.00063,44.0313405,0
1770673200000000,69971.86,69993.66,69971.86,69993.01,0.00049,1770673499999999,34.2937049,3,0.00021,14.6985321,0
1770673500000000,69988.49,70010.49,69877.89,70010.49,0.30612,1770673799999999,21412.4867045,22,0.30006,20988.7189235,0
1770673800000000,70137.06,70462.37,70137.06,70462.37,0.05383,1770674099999999,3784.2574145,13,0.05369,3774.4382261,0
1770674100000000,70361.32,70422.95,70361.32,70378.95,0.01408,1770674399999999,991.1456241,5,0.01394,981.2925711,0
1770674400000000,70394.0,70394.0,70262.4,70355.25,0.00194,1770674699999999,136.5134098,6,0.0,0.0,0
1770674700000000,70289.56,70302.73,70289.56,70302.73,0.00028,1770674999999999,19.6829206,2,0.0,0.0,0
1770675000000000,70493.64,70612.43,70493.64,70612.43,0.14854,1770675299999999,10481.2594605,6,0.00104,73.3133856,0
1770675300000000,70570.26,70597.14,70521.3,70525.35,0.07218,1770675599999999,5091.2378294,11,0.05699,4019.2486665,0
1770675600000000,70434.6,70434.6,70388.89,70388.89,0.03844,1770675899999999,2707.4943256,3,0.03816,2687.784336,0
1770675900000000,70442.67,70442.67,70442.67,70442.67,0.0151,1770676199999999,1063.684317,1,0.0151,1063.684317,0
1770676200000000,70416.3,70419.96,70416.3,70419.96,0.00028,1770676499999999,19.7170764,2,0.0,0.0,0
1770676500000000,70419.96,70419.96,70419.96,70419.96,0.0,1770676799999999,0.0,0,0.0,0.0,0
1770676800000000,70420.04,70507.81,70420.04,70507.81,0.00977,1770677099999999,688.0174786,3,0.00963,678.1463852,0
1770677100000000,70523.4,70523.4,70491.83,70491.83,0.00028,1770677399999999,19.7421322,2,0.0,0.0,0
1770677400000000,70347.96,70347.96,70347.96,70347.96,0.00014,1770677699999999,9.8487144,1,0.0,0.0,0
1770677700000000,70378.15,70378.15,70378.15,70378.15,0.00285,1770677999999999,200.5777275,1,0.00285,200.5777275,0
1770678000000000,70349.43,70349.43,70349.43,70349.43,0.00019,1770678299999999,13.3663917,1,0.00019,13.3663917,0
1770678300000000,70517.48,70517.48,70515.14,70515.14,0.00028,1770678599999999,19.7445668,2,0.0,0.0,0
1770678600000000,70507.58,70507.58,70386.56,70441.87,0.00085,1770678899999999,59.8975126,4,0.00043,30.3182594,0
1770678900000000,70437.23,70437.23,70414.89,70414.89,0.00048,1770679199999999,33.8022748,2,0.00034,23.9410626,0
1770679200000000,70438.09,70438.09,70286.09,70323.88,0.09543,1770679499999999,6711.5928359,8,0.00545,383.8318369,0
1770679500000000,70281.21,70285.29,70267.36,70267.36,0.00215,1770679799999999,151.1102921,3,0.00187,131.4334923,0
1770679800000000,70267.36,70267.36,70267.36,70267.36,0.0,1770680099999999,0.0,0,0.0,0.0,0
1770680100000000,70321.34,70321.34,70319.68,70319.68,0.11317,1770680399999999,7958.1846414,2,0.11317,7958.1846414,0
1770680400000000,70350.72,70396.35,70350.72,70365.19,0.04527,1770680699999999,3185.1736965,5,0.04499,3165.4670809,0
1770680700000000,70354.54,70354.54,70295.21,70295.21,0.00042,1770680999999999,29.5351308,3,0.0,0.0,0
1770681000000000,70160.88,70160.88,70089.59,70089.59,0.00043,1770681299999999,30.1591978,2,0.00029,20.3466552,0
1770681300000000,70111.47,70111.47,70082.71,70082.71,0.16103,1770681599999999,11285.4228177,4,0.0,0.0,0
1770681600000000,70162.71,70191.58,70094.59,70094.59,0.08964,1770681899999999,6289.4370718,6,0.08723,6120.3113594,0
1770681900000000,70103.06,70103.06,69986.23,69986.23,0.19401,1770682199999999,13582.2641889,10,0.0,0.0,0
1770682200000000,69959.37,70063.22,69959.35,70063.22,0.08284,1770682499999999,5797.8362769,9,0.02405,1684.9249174,0
1770682500000000,70145.23,70149.98,70045.06,70045.06,0.10023,1770682799999999,7030.6579795,5,0.09995,7011.0395835,0
1770682800000000,69898.4,69898.4,69851.61,69866.16,0.13945,1770683099999999,9744.2647811,20,0.12847,8976.9867397,0
1770683100000000,69917.58,69950.31,69917.58,69931.03,0.22541,1770683399999999,15765.671341,6,0.09447,6606.3788896,0
1770683400000000,69944.37,70014.03,69944.37,70014.03,0.02873,1770683699999999,2009.5115025,3,0.02859,1999.7095383,0
1770683700000000,70033.73,70033.73,69959.29,69959.29,0.17628,1770683999999999,12342.5951772,15,0.03274,2291.3155078,0
1770684000000000,69918.65,69918.65,69756.98,69777.75,0.27197,1770684299999999,18981.9477039,17,0.19695,13740.5797137,0
1770684300000000,69738.47,69768.81,69738.44,69768.81,0.00166,1770684599999999,115.7723492,4,0.00124,86.4757028,0
1770684600000000,69809.17,69865.89,69809.17,69810.58,0.049,1770684899999999,3420.7307144,3,0.049,3420.7307144,0
1770684900000000,69813.14,69855.34,69813.14,69855.34,0.00046,1770685199999999,32.1199524,2,0.00032,22.3402048,0
1770685200000000,69997.83,69997.83,69973.58,69973.58,0.00028,1770685499999999,19.5959974,2,0.0,0.0,0
1770685500000000,69923.11,69923.11,69923.11,69923.11,0.00014,1770685799999999,9.7892354,1,0.0,0.0,0
1770685800000000,70103.54,70121.03,70063.96,70121.03,0.06409,1770686099999999,4491.1562483,5,0.06381,4471.5327983,0
1770686100000000,70153.92,70153.92,70119.35,70119.35,0.00524,1770686399999999,367.5998922,3,0.00496,347.9634432,0
1770686400000000,70204.25,70226.79,70186.08,70226.79,0.01262,1770686699999999,885.765403,4,0.01262,885.765403,0
1770686700000000,70250.96,70409.68,70250.96,70374.61,0.01149,1770686999999999,807.9223123,5,0.01121,788.2125117,0
1770687000000000,70246.07,70246.07,70246.07,70246.07,0.00014,1770687299999999,9.8344498,1,0.0,0.0,0
1770687300000000,70290.17,70467.59,70290.17,70467.59,0.12929,1770687599999999,9100.9483841,6,0.12901,9081.2422977,0
1770687600000000,70367.87,70424.67,70367.87,70424.67,0.0041,1770687899999999,288.733195,2,0.0,0.0,0
1770687900000000,70385.86,70442.11,70358.1,70359.9,0.25937,1770688199999999,18260.8240871,13,0.16166,11381.6464344,0
1770688200000000,70359.88,70424.23,70256.92,70382.17,0.39777,1770688499999999,27972.2601361,22,0.21162,14889.995454,0
1770688500000000,70352.8,70412.93,70352.8,70370.32,0.00552,1770688799999999,388.6589854,5,0.00496,349.2481328,0
1770688800000000,70417.43,70417.43,70329.92,70380.82,0.00592,1770689099999999,416.7832438,4,0.0055,387.2253,0
1770689100000000,70386.2,70386.2,70275.49,70276.47,0.14606,1770689399999999,10274.4150168,9,0.01984,1395.3763164,0
1770689400000000,70287.2,70298.15,70255.87,70278.83,0.28233,1770689699999999,19835.83376,14,0.27079,19024.7967461,0
1770689700000000,70326.84,70396.83,70248.93,70248.93,0.29972,1770689999999999,21085.9695967,17,0.28479,20037.014459,0
1770690000000000,70286.35,70330.75,70286.35,70330.75,0.04139,1770690299999999,2910.3017067,8,0.04111,2890.6173371,0
1770690300000000,70311.07,70311.07,70208.59,70208.59,0.02132,1770690599999999,1498.6990613,5,0.02103,1478.3232472,0
1770690600000000,70201.21,70215.85,70201.21,70215.83,0.01014,1770690899999999,711.9156626,3,0.00499,350.3040379,0
1770690900000000,70204.5,70204.5,70087.71,70105.81,0.21207,1770691199999999,14877.2846955,50,0.08598,6028.8204205,0
1770691200000000,70073.77,70108.29,70027.31,70027.31,0.11063,1770691499999999,7751.5110568,39,0.05253,3681.3360542,0
1770691500000000,70000.0,70144.8,69971.79,70124.18,0.55217,1770691799999999,38699.3831385,122,0.0711,4982.0626262,0
1770691800000000,70094.93,70154.37,70070.83,70104.2,0.16995,1770692099999999,11916.8086394,46,0.02753,1929.8461542,0
1770692100000000,70067.33,70090.94,70004.06,70073.26,0.73866,1770692399999999,51739.6512113,95,0.10516,7365.2741568,0
1770692400000000,70073.27,70124.1,69967.69,69967.69,0.59096,1770692699999999,41400.074328,119,0.08619,6040.0465805,0
1770692700000000,69958.01,69958.01,69720.66,69764.47,1.1595,1770692999999999,80920.8512962,276,0.22299,15562.1481239,0
1770693000000000,69766.93,69842.01,69749.28,69799.69,0.97632,1770693299999999,68141.5135735,237,0.1963,13703.4214775,0
1770693300000000,69851.05,69851.05,69530.02,69531.99,1.15087,1770693599999999,80217.688472,254,0.65356,45558.8820513,0
1770693600000000,69551.13,69666.99,69551.13,69620.89,0.67524,1770693899999999,47006.2104322,89,0.17784,12378.5411387,0
1770693900000000,69638.26,69691.73,69470.27,69528.32,0.54957,1770694199999999,38234.0701902,103,0.32759,22792.2669419,0
1770694200000000,69501.58,69501.58,69167.08,69400.4,2.35961,1770694499999999,163429.0566758,445,1.17661,81471.7044099,0
1770694500000000,69400.39,69418.16,69275.15,69343.76,0.63783,1770694799999999,44239.6055075,133,0.31407,21785.1163867,0
1770694800000000,69326.12,69338.0,69272.42,69306.79,0.07001,1770695099999999,4852.7825824,19,0.05429,3762.8228497,0
1770695100000000,69331.95,69441.37,69331.95,69441.37,0.26175,1770695399999999,18164.5735297,71,0.08408,5835.679938,0
1770695400000000,69468.2,69535.31,69468.2,69490.28,0.10698,1770695699999999,7435.3780407,41,0.06505,4521.1201882,0
1770695700000000,69544.27,69544.27,69446.27,69481.99,0.02418,1770695999999999,1680.1451781,15,0.0188,1306.5067441,0
1770696000000000,69442.94,69532.46,69442.93,69508.01,0.12827,1770696299999999,8908.4904723,30,0.01185,823.6541605,0
1770696300000000,69610.97,69706.75,69610.97,69650.85,0.0192,1770696599999999,1337.4147174,9,0.01892,1317.9083844,0
1770696600000000,69683.53,69817.45,69661.59,69733.59,0.20737,1770696899999999,14458.4080828,35,0.03079,2147.7484774,0
1770696900000000,69743.15,69743.15,69624.83,69624.83,0.01299,1770697199999999,905.27888,7,0.01243,866.2631354,0
1770697200000000,69642.38,69698.57,69640.14,69640.14,0.04707,1770697499999999,3279.3530107,12,0.04693,3269.6033911,0
1770697500000000,69639.27,69745.23,69585.14,69732.34,0.40745,1770697799999999,28387.7417547,87,0.25524,17777.2277005,0
1770697800000000,69732.34,69732.34,69732.34,69732.34,0.0,1770698099999999,0.0,0,0.0,0.0,0
1770698100000000,69752.47,69752.47,69752.47,69752.47,0.00503,1770698399999999,350.8549241,1,0.00503,350.8549241,0
1770698400000000,69650.99,69650.99,69598.42,69619.31,0.0053,1770698699999999,368.9838536,3,0.00502,349.4889362,0
1770698700000000,69635.61,69753.05,69635.61,69753.05,0.01273,1770698999999999,887.5003849,3,0.01259,877.7513995,0
1770699000000000,69773.3,69811.04,69767.86,69811.04,0.13091,1770699299999999,9133.5056771,5,0.00884,616.9427806,0
1770699300000000,69837.03,69844.88,69798.28,69798.28,0.06575,1770699599999999,4589.9796958,11,0.03514,2453.2764588,0
1770699600000000,69799.09,69817.11,69691.2,69691.2,0.10173,1770699899999999,7096.8289996,24,0.10117,7057.7814288,0
1770699900000000,69713.22,69713.22,69713.22,69713.22,0.00014,1770700199999999,9.7598508,1,0.0,0.0,0
1770700200000000,69708.64,69770.91,69651.21,69770.91,0.0734,1770700499999999,5116.5939507,14,0.07326,5106.8340621,0
1770700500000000,69741.02,69741.02,69610.31,69614.03,0.00548,1770700799999999,381.4875568,4,0.00499,347.3554469,0
1770700800000000,69596.16,69596.16,69547.89,69554.74,0.22836,1770701099999999,15885.2402436,9,0.07527,5235.3499702,0
1770701100000000,69554.09,69554.09,69454.96,69469.42,0.20344,1770701399999999,14133.1797252,6,0.0332,2309.1670002,0
1770701400000000,69457.12,69511.83,69393.85,69511.82,0.06722,1770701699999999,4672.5603681,4,0.0,0.0,0
1770701700000000,69510.14,69626.19,69510.14,69596.08,0.04428,1770701999999999,3082.2144504,8,0.00519,361.3355556,0
1770702000000000,69578.08,69578.09,69270.29,69270.29,0.32337,1770702299999999,22490.1347734,21,0.22929,15945.5780934,0
